create_user,create_date,update_user,update_date,lithology_material_code,description,display_order
WELLS,2004-11-08 09:17:04-08,WELLS,2006-12-14 09:28:28-08,13,clay,100
WELLS,2004-11-08 09:17:20-08,WELLS,2006-12-14 09:28:28-08,14,hardpan,100
WELLS,2004-11-08 09:17:53-08,WELLS,2006-12-14 09:28:28-08,15,sedimentary rock,100
WELLS,2004-11-08 09:18:05-08,WELLS,2006-12-14 09:28:28-08,16,breccia,100
WELLS,2004-11-08 09:18:22-08,WELLS,2006-12-14 09:28:28-08,17,conglomerate,100
WELLS,2004-11-08 09:18:38-08,WELLS,2006-12-14 09:28:28-08,18,sandstone,100
WELLS,2004-11-08 09:18:55-08,WELLS,2006-12-14 09:28:28-08,19,greywacke,100
WELLS,2004-11-08 09:19:18-08,WELLS,2006-12-14 09:28:28-08,20,chert,100
WELLS,2004-11-08 09:19:41-08,WELLS,2006-12-14 09:28:28-08,21,quartzite,100
WELLS,2004-11-08 09:20:16-08,WELLS,2006-12-14 09:28:28-08,22,mudstone,100
WELLS,2004-11-08 09:20:30-08,WELLS,2006-12-14 09:28:28-08,23,siltstone,100
WELLS,2004-11-08 09:20:44-08,WELLS,2006-12-14 09:28:28-08,24,shale,100
WELLS,2004-11-08 09:21:19-08,WELLS,2006-12-14 09:28:28-08,25,carbonate rocks,100
WELLS,2004-11-08 09:21:34-08,WELLS,2006-12-14 09:28:28-08,26,marble,100
WELLS,2004-11-08 09:21:50-08,WELLS,2006-12-14 09:28:28-08,27,marl,100
WELLS,2004-11-08 09:22:05-08,WELLS,2006-12-14 09:28:28-08,28,limestone,100
WELLS,2004-11-08 09:22:19-08,WELLS,2006-12-14 09:28:28-08,29,dolomite,100
WELLS,2004-11-08 09:22:37-08,WELLS,2006-12-14 09:28:28-08,30,evaporites,100
WELLS,2004-11-08 09:22:52-08,WELLS,2006-12-14 09:28:28-08,31,gypsum,100
WELLS,2004-11-08 09:23:16-08,WELLS,2006-12-14 09:28:28-08,32,iron formation,100
WELLS,2004-11-08 09:23:27-08,WELLS,2006-12-14 09:28:28-08,33,coal,100
WELLS,2004-11-08 09:23:47-08,WELLS,2006-12-14 09:28:28-08,34,bentonite,100
WELLS,2004-11-08 09:24:10-08,WELLS,2006-12-14 09:28:28-08,36,basalt,100
WELLS,2004-11-08 09:24:50-08,WELLS,2006-12-14 09:28:28-08,37,soapstone,100
WELLS,2004-11-08 09:25:09-08,WELLS,2006-12-14 09:28:28-08,38,schist,100
WELLS,2004-11-08 09:25:36-08,WELLS,2006-12-14 09:28:28-08,39,granite,100
WELLS,2004-11-08 09:26:48-08,WELLS,2006-12-14 09:28:28-08,40,gneiss,100
WELLS,2004-11-08 09:26:59-08,WELLS,2006-12-14 09:28:28-08,41,slate,100
WELLS,2004-11-08 09:27:29-08,WELLS,2006-12-14 09:28:28-08,42,unspecified,100
WELLS,2004-11-08 09:27:42-08,WELLS,2006-12-14 09:28:28-08,43,bedrock,100
WELLS,2004-11-08 09:27:54-08,WELLS,2006-12-14 09:28:28-08,44,nodules,100
WELLS,2004-11-08 09:51:10-08,WELLS,2006-12-14 09:28:28-08,00,0 nothing entered,100
WELLS,2005-06-09 10:03:28-07,WELLS,2006-12-14 09:28:28-08,45,cobbles,100
WELLS,2005-06-09 10:03:53-07,WELLS,2006-12-14 09:28:28-08,46,coarse sand,100
WELLS,2005-06-09 10:04:19-07,WELLS,2006-12-14 09:28:28-08,47,medium sand,100
WELLS,2005-06-09 10:04:38-07,WELLS,2006-12-14 09:28:28-08,48,fine sand,100
WELLS,2005-06-09 10:04:58-07,PROXY_WELLS,2006-12-14 09:28:28-08,49,crystal,100
WELLS,2005-06-09 10:05:15-07,WELLS,2006-12-14 09:28:28-08,50,volcanic,100
