create_user,create_date,update_user,update_date,lithology_description_code,description,display_order
WELLS,2004-11-08 09:33:56-08,WELLS,2006-12-14 09:29:25-08,13,coal streaks,100
WELLS,2004-11-08 09:34:27-08,WELLS,2006-12-14 09:29:25-08,14,conglomeritic,100
WELLS,2004-11-08 09:34:48-08,WELLS,2006-12-14 09:29:25-08,15,dolomitic,100
WELLS,2004-11-08 09:35:18-08,WELLS,2006-12-14 09:29:25-08,16,feldspathic,100
WELLS,2004-11-08 09:35:38-08,WELLS,2006-12-14 09:29:25-08,17,ferruginous,100
WELLS,2004-11-08 09:35:56-08,WELLS,2006-12-14 09:29:25-08,18,gravel streaks,100
WELLS,2004-11-08 09:36:11-08,WELLS,2006-12-14 09:29:25-08,19,gravelly,100
WELLS,2004-11-08 09:36:38-08,WELLS,2006-12-14 09:29:25-08,20,gypsiferous,100
WELLS,2004-11-08 09:36:48-08,WELLS,2006-12-14 09:29:25-08,21,limy,100
WELLS,2004-11-08 09:37:03-08,WELLS,2006-12-14 09:29:25-08,22,marly,100
WELLS,2004-11-08 09:37:37-08,WELLS,2006-12-14 09:29:25-08,23,micaceous,100
WELLS,2004-11-08 09:37:50-08,WELLS,2006-12-14 09:29:25-08,24,muddy,100
WELLS,2004-11-08 09:38:35-08,WELLS,2006-12-14 09:29:25-08,25,non-calcareous,100
WELLS,2004-11-08 09:38:48-08,WELLS,2006-12-14 09:29:25-08,26,opaline,100
WELLS,2004-11-08 09:39:03-08,WELLS,2006-12-14 09:29:25-08,27,organic,100
WELLS,2004-11-08 09:39:18-08,WELLS,2006-12-14 09:29:25-08,28,pebbly,100
WELLS,2004-11-08 09:39:37-08,WELLS,2006-12-14 09:29:25-08,29,phosphatic,100
WELLS,2004-11-08 09:39:51-08,WELLS,2006-12-14 09:29:25-08,30,pyritic,100
WELLS,2004-11-08 09:40:10-08,WELLS,2006-12-14 09:29:25-08,31,quartzose,100
WELLS,2004-11-08 09:40:25-08,WELLS,2006-12-14 09:29:25-08,32,sand streaks,100
WELLS,2004-11-08 09:40:38-08,WELLS,2006-12-14 09:29:25-08,33,sandy,100
WELLS,2004-11-08 09:41:00-08,WELLS,2006-12-14 09:29:25-08,34,sand-gravel streaks,100
WELLS,2004-11-08 09:41:18-08,WELLS,2006-12-14 09:29:25-08,35,shale streaks,100
WELLS,2004-11-08 09:41:33-08,WELLS,2006-12-14 09:29:25-08,36,shaley,100
WELLS,2004-11-08 09:41:50-08,WELLS,2006-12-14 09:29:25-08,37,sideritic,100
WELLS,2004-11-08 09:42:08-08,WELLS,2006-12-14 09:29:25-08,38,siliceous,100
WELLS,2004-11-08 09:42:27-08,WELLS,2006-12-14 09:29:25-08,39,silt streaks,100
WELLS,2004-11-08 09:42:39-08,WELLS,2006-12-14 09:29:25-08,40,silty,100
WELLS,2004-11-08 09:42:59-08,WELLS,2006-12-14 09:29:25-08,41,slaty streaks,100
WELLS,2004-11-08 09:43:14-08,WELLS,2006-12-14 09:29:25-08,42,slaty,100
WELLS,2004-11-08 09:43:27-08,WELLS,2006-12-14 09:29:25-08,43,stony,100
WELLS,2004-11-08 09:43:43-08,WELLS,2006-12-14 09:29:25-08,44,till streaks,100
WELLS,2004-11-08 09:51:31-08,WELLS,2006-12-14 09:29:25-08,00,0 nothing entered,100
WELLS,2005-01-12 11:29:59-08,WELLS,2006-12-14 09:29:25-08,45,coarse,100
WELLS,2005-01-12 11:30:17-08,WELLS,2006-12-14 09:29:25-08,46,medium,100
WELLS,2005-01-12 11:30:34-08,WELLS,2006-12-14 09:29:25-08,47,fine,100
PROXY_WELLS,2008-01-07 12:38:57-08,PROXY_WELLS,2008-01-10 16:47:47-08,52,dark-coloured,100
PROXY_WELLS,2008-01-07 12:55:00-08,PROXY_WELLS,2008-01-10 16:50:51-08,68,sticky,100
